tmsp,pattern,count
2021-09-18T12:01:10,"start"",1
2021-09-18T12:01:10,"finish"",0
2021-09-18T12:01:10,"error"",0
2021-09-18T12:01:10,"start"",1
2021-09-18T12:01:10,"finish"",0
2021-09-18T12:01:10,"error"",0
2021-09-18T12:01:10,"start"",1
2021-09-18T12:01:10,"finish"",0
2021-09-18T12:01:10,"error"",0
2021-09-18T12:01:10,"start"",1
2021-09-18T12:01:10,"finish"",0
2021-09-18T12:01:10,"error"",0
2021-09-18T12:01:26,"start"",1
2021-09-18T12:01:26,"finish"",0
2021-09-18T12:01:26,"error"",0
2021-09-18T12:01:26,"start"",1
2021-09-18T12:01:26,"finish"",0
2021-09-18T12:01:26,"error"",0
2021-09-18T12:01:26,"start"",1
2021-09-18T12:01:26,"finish"",0
2021-09-18T12:01:26,"error"",0
2021-09-18T12:01:26,"start"",1
2021-09-18T12:01:26,"finish"",0
2021-09-18T12:01:26,"error"",0
2021-09-18T12:01:30,"start"",1
2021-09-18T12:01:30,"finish"",0
2021-09-18T12:01:30,"error"",0
2021-09-18T12:01:30,"start"",1
2021-09-18T12:01:30,"finish"",0
2021-09-18T12:01:30,"error"",0
2021-09-18T12:01:31,"start"",1
2021-09-18T12:01:31,"finish"",0
2021-09-18T12:01:31,"error"",0
2021-09-18T12:01:31,"start"",1
2021-09-18T12:01:31,"finish"",0
2021-09-18T12:01:31,"error"",0
2021-09-18T12:01:31,"start"",1
2021-09-18T12:01:31,"finish"",0
2021-09-18T12:01:31,"error"",0
2021-09-18T12:01:31,"start"",1
2021-09-18T12:01:31,"finish"",0
2021-09-18T12:01:31,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:33,"start"",1
2021-09-18T12:01:33,"finish"",0
2021-09-18T12:01:33,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
2021-09-18T12:01:34,"start"",1
2021-09-18T12:01:34,"finish"",0
2021-09-18T12:01:34,"error"",0
